Price,Close,High,Low,Open,Volume
Ticker,BTCB-USD,BTCB-USD,BTCB-USD,BTCB-USD,BTCB-USD
Datetime,,,,,
2025-05-24 11:00:00+00:00,109246.1484375,109349.3359375,109143.6953125,109143.6953125,0
2025-05-24 12:00:00+00:00,108840.0859375,109264.2109375,108833.1328125,109264.2109375,0
2025-05-24 13:00:00+00:00,108725.7578125,108866.3984375,108725.7578125,108833.7421875,0
2025-05-24 14:00:00+00:00,108855.6953125,108855.6953125,108681.796875,108681.796875,0
2025-05-24 15:00:00+00:00,108872.015625,109045.5234375,108852.125,108852.125,0
2025-05-24 16:00:00+00:00,108931.71875,108931.71875,108802.78125,108877.7890625,0
2025-05-24 17:00:00+00:00,108998.7578125,109017.703125,108943.09375,108943.09375,0
2025-05-24 18:00:00+00:00,108924.5625,109015.71875,108924.5625,108980.3671875,0
2025-05-24 19:00:00+00:00,108960.5546875,108960.5546875,108912.6953125,108937.109375,0
2025-05-24 20:00:00+00:00,108945.671875,108998.9609375,108945.671875,108965.765625,0
2025-05-24 21:00:00+00:00,108823.4375,108927.2890625,108778.75,108927.2890625,0
2025-05-24 22:00:00+00:00,108362.078125,108820.5859375,108340.6015625,108820.5859375,0
2025-05-24 23:00:00+00:00,107779.1171875,108193.2890625,107766.1171875,108193.2890625,0
2025-05-25 00:00:00+00:00,107614.1796875,108082.75,107614.1796875,107798.09375,0
2025-05-25 01:00:00+00:00,107693.9140625,107731.46875,107495.0546875,107560.9765625,809188
2025-05-25 02:00:00+00:00,107882.875,107882.875,107653.296875,107693.1796875,261580
2025-05-25 03:00:00+00:00,108125.9921875,108136.671875,107912.078125,107912.078125,61538
2025-05-25 04:00:00+00:00,108141.6640625,108141.6640625,107999.0703125,108099.375,0
2025-05-25 05:00:00+00:00,108105.5078125,108181.5234375,108084.0234375,108162.34375,75776
2025-05-25 06:00:00+00:00,107916.21875,108152.75,107916.21875,108123.7421875,0
2025-05-25 07:00:00+00:00,107751.21875,107985.3125,107745.5859375,107985.3125,327150
2025-05-25 08:00:00+00:00,107355.015625,107766.0625,107355.015625,107766.0625,0
2025-05-25 09:00:00+00:00,107101.2734375,107327.6015625,106950.296875,107327.6015625,718146
2025-05-25 10:00:00+00:00,107058.3046875,107178.359375,107058.3046875,107110.78125,0
2025-05-25 11:00:00+00:00,107169.25,107169.25,107008.859375,107037.0859375,0
2025-05-25 12:00:00+00:00,107376.5390625,107376.5390625,107157.4296875,107171.6875,0
2025-05-25 13:00:00+00:00,107454.421875,107484.5703125,107337.78125,107381.515625,289840
2025-05-25 14:00:00+00:00,107431.9453125,107574.1484375,107365.0234375,107497.4921875,0
2025-05-25 15:00:00+00:00,107056.640625,107473.78125,107005.6640625,107473.78125,1757340
2025-05-25 16:00:00+00:00,107124.5859375,107124.5859375,106849.796875,107046.9296875,78896
2025-05-25 17:00:00+00:00,107182.9296875,107272.0859375,107145.515625,107145.515625,3535510
2025-05-25 18:00:00+00:00,107284.9765625,107325.5546875,107201.3984375,107201.3984375,0
2025-05-25 19:00:00+00:00,107629.2265625,107629.2265625,107275.28125,107284.75,125008
2025-05-25 20:00:00+00:00,107582.75,107622.4296875,107527.1328125,107622.4296875,864232
2025-05-25 21:00:00+00:00,107555.65625,107673.5859375,107441.4296875,107582.515625,589540
2025-05-25 22:00:00+00:00,108563.2109375,108563.2109375,107511.1875,107511.1875,2997440
